Q15_1,Q15_2_M2,Q19,Q26,Q33,cluster
15.0,120.0,0.0,1.0,4.0,2
3.0,120.0,1.0,1.0,3.0,2
1.0,150.0,1.0,1.0,3.0,2
1.0,150.0,0.0,0.0,2.0,0
2.0,135.0,1.0,0.0,2.0,1
1.0,120.0,1.0,1.0,3.0,2
8.0,90.0,0.0,1.0,1.0,0
20.0,60.0,1.0,0.0,2.0,1
13.0,60.0,1.0,1.0,3.0,2
5.0,60.0,1.0,1.0,3.0,2
3.0,90.0,1.0,0.0,3.0,1
4.0,60.0,1.0,0.0,2.0,1
12.0,90.0,1.0,1.0,3.0,2
20.0,90.0,1.0,1.0,2.0,2
9.0,65.0,0.0,0.0,3.0,0
10.0,60.0,1.0,1.0,3.0,2
2.0,60.0,1.0,0.0,3.0,1
1.0,60.0,1.0,0.0,2.0,1
1.0,90.0,1.0,0.0,1.0,1
2.0,60.0,0.0,0.0,3.0,0
4.0,95.0,1.0,0.0,1.0,1
8.0,60.0,1.0,0.0,3.0,1
15.0,90.0,1.0,1.0,4.0,2
4.0,90.0,0.0,0.0,2.0,0
2.0,60.0,0.0,0.0,2.0,0
2.0,60.0,1.0,1.0,4.0,2
3.0,60.0,1.0,0.0,2.0,1
5.0,60.0,0.0,0.0,2.0,0
6.0,50.0,0.0,0.0,3.0,0
3.0,5.0,0.0,0.0,3.0,0
12.0,40.0,1.0,1.0,4.0,2
10.0,40.0,1.0,0.0,1.0,1
4.0,45.0,0.0,0.0,2.0,0
4.0,18.0,1.0,0.0,1.0,1
4.0,45.0,1.0,0.0,1.0,1
2.0,30.0,1.0,0.0,2.0,1
8.0,50.0,1.0,0.0,2.0,1
2.0,30.0,1.0,0.0,2.0,1
13.0,30.0,0.0,0.0,2.0,0
8.0,45.0,1.0,0.0,2.0,1
1.0,30.0,1.0,0.0,1.0,1
8.0,50.0,0.0,0.0,2.0,0
8.0,45.0,1.0,0.0,2.0,1
4.0,40.0,1.0,1.0,3.0,2
2.0,30.0,0.0,1.0,4.0,2
5.0,45.0,0.0,1.0,3.0,2
20.0,50.0,0.0,0.0,2.0,0
12.0,45.0,1.0,0.0,2.0,1
4.0,50.0,1.0,0.0,3.0,1
2.0,30.0,1.0,0.0,2.0,1
8.0,45.0,1.0,0.0,2.0,1
2.0,50.0,0.0,0.0,2.0,0
3.0,30.0,1.0,0.0,2.0,1
3.0,45.0,1.0,0.0,1.0,1
5.0,50.0,1.0,0.0,1.0,1
3.0,45.0,0.0,0.0,2.0,0
3.0,30.0,1.0,0.0,2.0,1
3.0,40.0,1.0,0.0,2.0,1
8.0,45.0,0.0,0.0,3.0,0
3.0,20.0,1.0,0.0,2.0,1
2.0,20.0,0.0,0.0,3.0,0
4.0,40.0,0.0,0.0,1.0,0
16.0,45.0,1.0,0.0,3.0,1
4.0,40.0,1.0,0.0,1.0,1
12.0,30.0,0.0,0.0,3.0,0
12.0,20.0,1.0,0.0,3.0,1
8.0,45.0,1.0,1.0,3.0,2
1.0,30.0,1.0,0.0,1.0,1
8.0,30.0,1.0,0.0,2.0,1
2.0,30.0,1.0,0.0,3.0,1
4.0,40.0,1.0,0.0,2.0,1
10.0,180.0,0.0,1.0,4.0,2
6.0,70.0,1.0,1.0,3.0,2
16.0,60.0,1.0,0.0,3.0,1
2.0,60.0,0.0,0.0,3.0,0
15.0,30.0,0.0,0.0,1.0,0
10.0,35.0,1.0,1.0,3.0,2
28.0,120.0,0.0,1.0,4.0,2
3.0,60.0,0.0,0.0,1.0,0
15.0,70.0,0.0,0.0,2.0,0
10.0,120.0,0.0,1.0,4.0,2
26.0,60.0,1.0,0.0,4.0,1
1.0,10.0,0.0,1.0,2.0,0
18.0,50.0,0.0,1.0,4.0,2
2.0,120.0,1.0,0.0,2.0,1
8.0,120.0,0.0,1.0,4.0,2
21.0,60.0,0.0,1.0,4.0,2
5.0,90.0,0.0,1.0,4.0,2
18.0,60.0,0.0,1.0,4.0,2
20.0,60.0,1.0,1.0,4.0,2
30.0,90.0,1.0,0.0,2.0,1
25.0,80.0,1.0,1.0,2.0,2
5.0,60.0,0.0,0.0,3.0,0
20.0,60.0,1.0,1.0,4.0,2
1.0,60.0,0.0,0.0,2.0,0
60.0,70.0,0.0,0.0,3.0,0
4.0,60.0,0.0,0.0,4.0,0
2.0,60.0,1.0,1.0,1.0,1
6.0,60.0,0.0,0.0,3.0,0
12.0,60.0,0.0,1.0,3.0,2
